Stream,Slope,Lulc,Recharge
3,3,4.0,3.40000009536743
4,3,5.0,3.90000009536743
3,3,3.0,3.20000004768372
2,3,4.0,3.09999990463257
3,2,5.0,3.20000004768372
4,2,5.0,3.5
3,3,4.0,3.40000009536743
3,3,4.0,3.40000009536743
4,2,5.0,3.5
4,2,5.0,3.5
4,3,5.0,3.90000009536743
3,2,3.0,2.79999995231628
3,3,5.0,3.59999990463257
3,3,4.0,3.40000009536743
3,3,4.0,3.40000009536743
3,3,4.0,3.40000009536743
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
4,3,5.0,3.90000009536743
3,3,3.0,3.20000004768372
4,2,5.0,3.5
4,2,5.0,3.5
4,3,5.0,3.90000009536743
4,3,5.0,3.90000009536743
4,3,5.0,3.90000009536743
3,2,5.0,3.20000004768372
4,2,5.0,3.5
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
3,3,4.0,3.40000009536743
3,3,5.0,3.59999990463257
4,2,3.0,3.09999990463257
4,2,5.0,3.5
3,2,3.0,2.79999995231628
4,3,5.0,3.90000009536743
3,3,4.0,3.40000009536743
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
4,3,5.0,3.90000009536743
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,3,5.0,3.59999990463257
3,3,3.0,3.20000004768372
4,3,5.0,3.90000009536743
3,3,4.0,3.40000009536743
3,4,4.0,3.79999995231628
3,2,5.0,3.20000004768372
3,3,4.0,3.40000009536743
3,2,3.0,2.79999995231628
4,2,3.0,3.09999990463257
3,3,3.0,3.20000004768372
3,3,5.0,3.59999990463257
3,3,4.0,3.40000009536743
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,2,5.0,3.20000004768372
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
4,2,5.0,3.5
4,2,5.0,3.5
3,3,5.0,3.59999990463257
3,3,5.0,3.59999990463257
3,4,4.0,3.79999995231628
4,2,5.0,3.5
3,2,3.0,2.79999995231628
3,3,4.0,3.40000009536743
4,3,5.0,3.90000009536743
2,3,4.0,3.09999990463257
3,4,4.0,3.79999995231628
4,3,5.0,3.90000009536743
3,4,4.0,3.79999995231628
3,3,4.0,3.40000009536743
4,3,5.0,3.90000009536743
4,2,5.0,3.5
3,3,4.0,3.40000009536743
3,2,5.0,3.20000004768372
2,3,4.0,3.09999990463257
3,2,5.0,3.20000004768372
4,3,5.0,3.90000009536743
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,3,4.0,3.40000009536743
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
4,2,5.0,3.5
4,3,5.0,3.90000009536743
3,4,4.0,3.79999995231628
3,3,3.0,3.20000004768372
3,4,4.0,3.79999995231628
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
4,2,5.0,3.5
4,2,5.0,3.5
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,2,5.0,3.20000004768372
3,4,4.0,3.79999995231628
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
3,2,5.0,3.20000004768372
3,3,3.0,3.20000004768372
3,4,4.0,3.79999995231628
4,2,5.0,3.5
3,3,5.0,3.59999990463257
3,2,3.0,2.79999995231628
2,3,4.0,3.09999990463257
3,3,4.0,3.40000009536743
3,3,4.0,3.40000009536743
4,2,3.0,3.09999990463257
3,2,5.0,3.20000004768372
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
4,2,3.0,3.09999990463257
3,3,3.0,3.20000004768372
4,2,5.0,3.5
3,4,4.0,3.79999995231628
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
4,2,5.0,3.5
3,3,5.0,3.59999990463257
3,3,3.0,3.20000004768372
4,2,5.0,3.5
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,3,4.0,3.40000009536743
4,2,5.0,3.5
3,3,3.0,3.20000004768372
3,3,4.0,3.40000009536743
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,3,4.0,3.40000009536743
3,2,3.0,2.79999995231628
2,5,4.0,3.90000009536743
3,4,4.0,3.79999995231628
3,2,3.0,2.79999995231628
4,3,5.0,3.90000009536743
3,3,4.0,3.40000009536743
3,3,5.0,3.59999990463257
4,3,5.0,3.90000009536743
4,2,5.0,3.5
3,3,3.0,3.20000004768372
4,2,5.0,3.5
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
4,2,5.0,3.5
3,3,3.0,3.20000004768372
3,3,5.0,3.59999990463257
2,3,4.0,3.09999990463257
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,2,3.0,2.79999995231628
2,5,4.0,3.90000009536743
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
3,2,5.0,3.20000004768372
3,3,3.0,3.20000004768372
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
4,3,5.0,3.90000009536743
4,2,5.0,3.5
4,2,5.0,3.5
3,2,5.0,3.20000004768372
3,2,3.0,2.79999995231628
4,2,5.0,3.5
3,3,4.0,3.40000009536743
3,2,5.0,3.20000004768372
3,2,5.0,3.20000004768372
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,2,3.0,2.79999995231628
3,3,3.0,3.20000004768372
3,3,4.0,3.40000009536743
4,3,5.0,3.90000009536743
3,3,5.0,3.59999990463257
3,3,3.0,3.20000004768372
3,2,3.0,2.79999995231628
3,3,5.0,3.59999990463257
3,3,4.0,3.40000009536743
4,2,5.0,3.5
