fid,id,Stream,fid_2,id_2,Slope,fid_3,id_3,Lulc,fid_4,id_4,Recharge
1,0,3,1,0,3,1,0,4,1,0,3.40000009536743
2,1,4,2,1,3,2,1,5,2,1,3.90000009536743
3,2,3,3,2,3,3,2,3,3,2,3.20000004768372
4,3,2,4,3,3,4,3,4,4,3,3.09999990463257
5,4,3,5,4,2,5,4,5,5,4,3.20000004768372
6,5,4,6,5,2,6,5,5,6,5,3.5
7,6,3,7,6,3,7,6,4,7,6,3.40000009536743
8,7,4,8,7,3,8,7,,8,7,
9,8,3,9,8,3,9,8,4,9,8,3.40000009536743
10,9,3,10,9,3,10,9,,10,9,
11,10,3,11,10,2,11,10,,11,10,
12,11,4,12,11,2,12,11,5,12,11,3.5
13,12,4,13,12,2,13,12,5,13,12,3.5
14,13,4,14,13,3,14,13,5,14,13,3.90000009536743
15,14,3,15,14,2,15,14,3,15,14,2.79999995231628
16,15,3,16,15,3,16,15,5,16,15,3.59999990463257
17,16,3,17,16,3,17,16,4,17,16,3.40000009536743
18,17,3,18,17,3,18,17,4,18,17,3.40000009536743
19,18,3,19,18,3,19,18,4,19,18,3.40000009536743
20,19,3,20,19,3,20,19,3,20,19,3.20000004768372
21,20,3,21,20,3,21,20,3,21,20,3.20000004768372
22,21,4,22,21,3,22,21,5,22,21,3.90000009536743
23,22,3,23,22,3,23,22,3,23,22,3.20000004768372
24,23,4,24,23,3,24,23,,24,23,
25,24,4,25,24,2,25,24,5,25,24,3.5
26,25,4,26,25,2,26,25,5,26,25,3.5
27,26,4,27,26,3,27,26,5,27,26,3.90000009536743
28,27,4,28,27,3,28,27,5,28,27,3.90000009536743
29,28,4,29,28,3,29,28,5,29,28,3.90000009536743
30,29,3,30,29,2,30,29,5,30,29,3.20000004768372
31,30,4,31,30,3,31,30,,31,30,
32,31,4,32,31,2,32,31,5,32,31,3.5
33,32,3,33,32,3,33,32,3,33,32,3.20000004768372
34,33,3,34,33,3,34,33,3,34,33,3.20000004768372
35,34,3,35,34,2,35,34,3,35,34,2.79999995231628
36,35,3,36,35,3,36,35,4,36,35,3.40000009536743
37,36,3,37,36,3,37,36,5,37,36,3.59999990463257
38,37,3,38,37,2,38,37,,38,37,
39,38,4,39,38,2,39,38,3,39,38,3.09999990463257
40,39,4,40,39,2,40,39,,40,39,
41,40,4,41,40,2,41,40,5,41,40,3.5
42,41,3,42,41,2,42,41,3,42,41,2.79999995231628
43,42,4,43,42,3,43,42,5,43,42,3.90000009536743
44,43,3,44,43,3,44,43,4,44,43,3.40000009536743
45,44,3,45,44,3,45,44,3,45,44,3.20000004768372
46,45,3,46,45,2,46,45,3,46,45,2.79999995231628
47,46,3,47,46,3,47,46,3,47,46,3.20000004768372
48,47,3,48,47,2,48,47,3,48,47,2.79999995231628
49,48,4,49,48,2,49,48,5,49,48,3.5
50,49,3,50,49,3,50,49,3,50,49,3.20000004768372
51,50,4,51,50,3,51,50,,51,50,
52,51,3,52,51,3,52,51,3,52,51,3.20000004768372
53,52,3,53,52,3,53,52,3,53,52,3.20000004768372
54,53,3,54,53,3,54,53,3,54,53,3.20000004768372
55,54,4,55,54,3,55,54,5,55,54,3.90000009536743
56,55,3,56,55,3,56,55,3,56,55,3.20000004768372
57,56,3,57,56,3,57,56,3,57,56,3.20000004768372
58,57,3,58,57,3,58,57,5,58,57,3.59999990463257
59,58,3,59,58,3,59,58,3,59,58,3.20000004768372
60,59,4,60,59,3,60,59,5,60,59,3.90000009536743
61,60,3,61,60,3,61,60,4,61,60,3.40000009536743
62,61,3,62,61,4,62,61,4,62,61,3.79999995231628
63,62,4,63,62,2,63,62,,63,62,
64,63,3,64,63,2,64,63,5,64,63,3.20000004768372
65,64,3,65,64,2,65,64,,65,64,
66,65,3,66,65,3,66,65,4,66,65,3.40000009536743
67,66,3,67,66,2,67,66,3,67,66,2.79999995231628
68,67,4,68,67,2,68,67,3,68,67,3.09999990463257
69,68,3,69,68,3,69,68,3,69,68,3.20000004768372
70,69,3,70,69,2,70,69,,70,69,
71,70,3,71,70,3,71,70,5,71,70,3.59999990463257
72,71,3,72,71,3,72,71,4,72,71,3.40000009536743
73,72,3,73,72,2,73,72,3,73,72,2.79999995231628
74,73,4,74,73,2,74,73,5,74,73,3.5
75,74,4,75,74,3,75,74,,75,74,
76,75,3,76,75,2,76,75,5,76,75,3.20000004768372
77,76,3,77,76,2,77,76,3,77,76,2.79999995231628
78,77,3,78,77,3,78,77,3,78,77,3.20000004768372
79,78,3,79,78,2,79,78,3,79,78,2.79999995231628
80,79,4,80,79,2,80,79,5,80,79,3.5
81,80,4,81,80,2,81,80,5,81,80,3.5
82,81,3,82,81,3,82,81,5,82,81,3.59999990463257
83,82,3,83,82,3,83,82,5,83,82,3.59999990463257
84,83,3,84,83,4,84,83,4,84,83,3.79999995231628
85,84,4,85,84,2,85,84,5,85,84,3.5
86,85,3,86,85,2,86,85,3,86,85,2.79999995231628
87,86,3,87,86,3,87,86,4,87,86,3.40000009536743
88,87,4,88,87,3,88,87,5,88,87,3.90000009536743
89,88,2,89,88,3,89,88,4,89,88,3.09999990463257
90,89,3,90,89,4,90,89,4,90,89,3.79999995231628
91,90,4,91,90,3,91,90,5,91,90,3.90000009536743
92,91,3,92,91,4,92,91,4,92,91,3.79999995231628
93,92,3,93,92,3,93,92,4,93,92,3.40000009536743
94,93,4,94,93,3,94,93,5,94,93,3.90000009536743
95,94,4,95,94,2,95,94,5,95,94,3.5
96,95,3,96,95,2,96,95,,96,95,
97,96,3,97,96,3,97,96,4,97,96,3.40000009536743
98,97,3,98,97,2,98,97,5,98,97,3.20000004768372
99,98,2,99,98,3,99,98,4,99,98,3.09999990463257
100,99,3,100,99,2,100,99,5,100,99,3.20000004768372
101,100,4,101,100,3,101,100,5,101,100,3.90000009536743
102,101,3,102,101,2,102,101,3,102,101,2.79999995231628
103,102,4,103,102,2,103,102,5,103,102,3.5
104,103,3,104,103,3,104,103,4,104,103,3.40000009536743
105,104,3,105,104,2,105,104,3,105,104,2.79999995231628
106,105,4,106,105,3,106,105,,106,105,
107,106,3,107,106,2,107,106,3,107,106,2.79999995231628
108,107,3,108,107,2,108,107,,108,107,
109,108,4,109,108,2,109,108,5,109,108,3.5
110,109,4,110,109,3,110,109,5,110,109,3.90000009536743
